country_code,country,year,renewable_share,energy_use_per_capita,population,gdp_per_capita,total_energy_use,energy_intensity
AUS,Australia,1990,8.0,5047.63880316716,17065128.0,36975.4199007908,86138602273.81439,0.13651335986746171
AUS,Australia,1991,8.2,4925.05735551339,17284036.0,36366.6962397612,85124868634.75822,0.13542768149856357
AUS,Australia,1992,7.5,4960.57443467868,17478635.0,36117.5446503441,86704069934.07999,0.13734528420196523
AUS,Australia,1993,8.6,5171.29276055127,17634808.0,37246.0044332363,91194754944.11162,0.13884154392508985
AUS,Australia,1994,8.3,5127.43388651941,17805468.0,38356.7691976693,91296359988.53699,0.13367741845241157
AUS,Australia,1995,8.2,5138.24234027092,18004882.0,39407.5647528439,92513447023.98177,0.13038720795098388
AUS,Australia,1996,8.9,5429.944199086,18224767.0,40437.0941864857,98959467851.34395,0.13428126595952875
AUS,Australia,1997,9.1,5497.64639169812,18423037.0,41569.1653679391,101283342887.17096,0.1322529895184826
AUS,Australia,1998,8.6,5584.82787538452,18607584.0,43081.7201718179,103920153816.75899,0.1296333538473206
AUS,Australia,1999,8.5,5644.57987814369,18812264.0,44755.6599721318,106187326836.72691,0.12611991157450086
AUS,Australia,2000,8.4,5681.22885913159,19028802.0,45979.0765654048,108106979077.10092,0.12356117789904057
AUS,Australia,2001,8.4,5486.39455905443,19274701.0,46314.6235297968,105748614693.80098,0.11845922822895719
AUS,Australia,2002,8.7,5480.23464289818,19495210.0,47599.4079289312,106838325212.57503,0.11513241196362153
AUS,Australia,2003,7.2,5615.57675632995,19720737.0,48509.6632180363,110743312314.89603,0.11576202314762785
AUS,Australia,2004,6.7,5652.13037917952,19932722.0,50018.5904483861,112662343555.93996,0.11300059294977377
AUS,Australia,2005,6.7,5624.49561264785,20176844.0,50972.640519744,113484570555.0801,0.11034342257527799
AUS,Australia,2006,6.8,5775.11675226564,20450966.0,51682.8925230537,118106716346.61502,0.11174136102559638
AUS,Australia,2007,7.0,5853.76413229662,20827622.0,52671.325846724,121919986624.63199,0.1111375883973634
AUS,Australia,2008,6.8,5951.19291532561,21249199.0,53497.275355342,126458082545.14403,0.11124291612603314
AUS,Australia,2009,7.1,5843.93312947132,21691653.0,53430.5274781651,126764569599.69595,0.10937442329873123
AUS,Australia,2010,8.2,5762.9435664152,22031750.0,53768.349733441,126967731919.36807,0.10718096417288703
AUS,Australia,2011,8.3,5698.65597309349,22340024.0,54296.2321324814,127308111206.65192,0.10495490661652022
